review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
Much cheaper way of buying new premium tyres than direct with the company that fitted them. Can't quite work out how they do that but don't really care.,tyre quality positive,value for money positive,"['Much', 'cheaper', 'way', 'buying', 'new', 'premium', 'tyres', 'direct', 'company', 'fitted', '.', 'Ca', ""n't"", 'quite', 'work', ""n't"", 'really', 'care', '.']",positive,{'incorrect tyres': 'positive'}
"When you don't have the budget and need tyres in an emergency, I can't speak highly enough.",value for money positive,,"[""n't"", 'budget', 'need', 'tyres', 'emergency', ',', 'ca', ""n't"", 'speak', 'highly', 'enough', '.']",neutral,{'incorrect tyres': 'neutral'}
Tyre fitter marked alloys then I had to return a further two times to rectify the tyre loosing pressure. So damaged wheel and subsequent visits to rectify poor fitting.,damage negative,garage service negative,"['Tyre', 'fitter', 'marked', 'alloys', 'return', 'two', 'times', 'rectify', 'tyre', 'loosing', 'pressure', '.', 'damaged', 'wheel', 'subsequent', 'visits', 'rectify', 'poor', 'fitting', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
First time I tried went through whole process to find tyer was out of stock. Then garage I went to was not helpful at all,garage service negative,no stock negative,"['First', 'time', 'tried', 'went', 'whole', 'process', 'find', 'tyer', 'stock', '.', 'garage', 'went', 'helpful']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Selected the wrong tyres originally, [REDACTED] noticed my mistake and when I called to correct my order it was hassle free.",advisoragent service positive,,"['Selected', 'wrong', 'tyres', 'originally', ',', '[', 'REDACTED', ']', 'noticed', 'mistake', 'called', 'correct', 'order', 'hassle', 'free', '.']",positive,{'incorrect tyres': 'positive'}
"Easy to book, time slot and garage of my choice then a great service fitting the tyres.",ease of booking positive,garage service positive,"['Easy', 'book', ',', 'time', 'slot', 'garage', 'choice', 'great', 'service', 'fitting', 'tyres', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
I really like the fitter service I use and [REDACTED] gives me a decent price.,garage service positive,value for money positive,"['really', 'like', 'fitter', 'service', 'use', '[', 'REDACTED', ']', 'gives', 'decent', 'price', '.']",positive,{'garage service': 'positive'}
It was really easy to order my tyres and find a local garage to fit them .,location positive,,"['really', 'easy', 'order', 'tyres', 'find', 'local', 'garage', 'fit', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
I choose 8 because of the staff not because of the way your expect your staff to work under the pressure you put them. I waited 3 hours after my book in time before I was able to leave the tyre area. Having to pass on a airport run to one of my competitors in the chauffeur business.,garage service negative,wait time negative,"['choose', '8', 'staff', 'way', 'expect', 'staff', 'work', 'pressure', 'put', '.', 'waited', '3', 'hours', 'book', 'time', 'able', 'leave', 'tyre', 'area', '.', 'pass', 'airport', 'run', 'one', 'competitors', 'chauffeur', 'business', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Website easy to use,good price,lifetime warranty with my tyres plus local fitting services near me.Good communication from [REDACTED].",value for money positive,tyre quality positive,"['Website', 'easy', 'use', ',', 'good', 'price', ',', 'lifetime', 'warranty', 'tyres', 'plus', 'local', 'fitting', 'services', 'near', 'me.Good', 'communication', '[', 'REDACTED', ']', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Will use again. Really easy to use and competitive pricing,value for money positive,,"['use', '.', 'Really', 'easy', 'use', 'competitive', 'pricing']",positive,{}
"The staff where friendly and helpful in phone ,but the problems where with the order of tyres I had done 2 or 3 days later got email saying can't get them so advised on another similar type thought not a problem till i got to garage and garage had recieved my original order and 2 further sets of tyres which also had to change booking day as apparently first set weren't in but garage said they recieved them on the day. Complete mix up.",change of date negative,advisor/agent service positive,"['staff', 'friendly', 'helpful', 'phone', ',', 'problems', 'order', 'tyres', 'done', '2', '3', 'days', 'later', 'got', 'email', 'saying', 'ca', ""n't"", 'get', 'advised', 'another', 'similar', 'type', 'thought', 'problem', 'till', 'got', 'garage', 'garage', 'recieved', 'original', 'order', '2', 'sets', 'tyres', 'also', 'change', 'booking', 'day', 'apparently', 'first', 'set', ""n't"", 'garage', 'said', 'recieved', 'day', '.', 'Complete', 'mix', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Great service...ATS were excellent,garage service positive,,"['Great', 'service', '...', 'ATS', 'excellent']",positive,{'garage service': 'positive'}
Good price and quick fitting,length of fitting positive,value for money positive,"['Good', 'price', 'quick', 'fitting']",positive,{}
"Great website and service from the fitting centre, plus a fantastic price....what more can I say !!!!",garage service positive,value for money positive,"['Great', 'website', 'service', 'fitting', 'centre', ',', 'plus', 'fantastic', 'price', '....', 'say', '!', '!', '!', '!']",positive,{'garage service': 'positive'}
"Reasonable price ,easy to order and pay.good choice of local fitters.",location positive,value for money positive,"['Reasonable', 'price', ',', 'easy', 'order', 'pay.good', 'choice', 'local', 'fitters', '.']",positive,{}
Good value,value for money positive,,"['Good', 'value']",positive,{}
Fast effective and got a decent discount.,discounts positive,,"['Fast', 'effective', 'got', 'decent', 'discount', '.']",positive,{}
Ordered on a Wednesday for Saturday fitting. The tyre didn't arrive and couldn't be fitted until the following Tuesday.,change of date negative,delivery punctuality negative,"['Ordered', 'Wednesday', 'Saturday', 'fitting', '.', 'tyre', ""n't"", 'arrive', 'could', ""n't"", 'fitted', 'following', 'Tuesday', '.']",positive,{'incorrect tyres': 'positive'}
Customer service received has been shocking. Complaint raised over a week ago and still no solution to the problem. Takes around 2 days to get a response. Every email I have received has been from a different person.,advisor/agent service negative,response time negative,"['Customer', 'service', 'received', 'shocking', '.', 'Complaint', 'raised', 'week', 'ago', 'still', 'solution', 'problem', '.', 'Takes', 'around', '2', 'days', 'get', 'response', '.', 'Every', 'email', 'received', 'different', 'person', '.']",negative,{'garage service': 'negative'}
The garage that I chose to fit my tyres spent more time going round my car looking for other work they could carry out rather than get on with fits two front tyres and do the tracking. 2 hrs 20 mins for this to be carried out. I Will be having tyres off the shelf in future and fitted at Just Tyres. The name speaks for its self.,length of fitting negative,garage service negative,"['garage', 'chose', 'fit', 'tyres', 'spent', 'time', 'going', 'round', 'car', 'looking', 'work', 'could', 'carry', 'rather', 'get', 'fits', 'two', 'front', 'tyres', 'tracking', '.', '2', 'hrs', '20', 'mins', 'carried', '.', 'tyres', 'shelf', 'future', 'fitted', 'Tyres', '.', 'name', 'speaks', 'self', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Very easy process and cheaper than others,value for money positive,,"['easy', 'process', 'cheaper', 'others']",positive,{}
Highly recommend. Excellent! Great price and timed slot for fitting worked perfectly at a garage just up the road from me...... what more do you need? Thanks for a great service 😊,value for money positive,ease of booking positive,"['Highly', 'recommend', '.', 'Excellent', '!', 'Great', 'price', 'timed', 'slot', 'fitting', 'worked', 'perfectly', 'garage', 'road', '......', 'need', '?', 'Thanks', 'great', 'service', '😊']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Very good reliable price in tyre and. Quality as good Booking as fitted as time as when it prefect for me easy not have to waiting next customers at garage it possible my booking as quick service!! Great!!!,wait time positive,value for money positive,"['good', 'reliable', 'price', 'tyre', '.', 'Quality', 'good', 'Booking', 'fitted', 'time', 'prefect', 'easy', 'waiting', 'next', 'customers', 'garage', 'possible', 'booking', 'quick', 'service', '!', '!', 'Great', '!', '!', '!']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Easy to order, lots of fitting station, just fitting station didn't do what I asked for when I ordered.",location positive,garage service negative,"['Easy', 'order', ',', 'lots', 'fitting', 'station', ',', 'fitting', 'station', ""n't"", 'asked', 'ordered', '.']",positive,{}
Good service and choice of tyre fitting locations.Happy with the price and the ability to book a date and time that suits.,location positive,ease of booking positive,"['Good', 'service', 'choice', 'tyre', 'fitting', 'locations.Happy', 'price', 'ability', 'book', 'date', 'time', 'suits', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"5 Service. Great service, great prices!",,,"['5', 'Service', '.', 'Great', 'service', ',', 'great', 'prices', '!']",positive,{'garage service': 'positive'}
great service and easy to use. only wish there was some discount promotion on at the time of purchasing the brand of tyres.,discounts negative,,"['great', 'service', 'easy', 'use', '.', 'wish', 'discount', 'promotion', 'time', 'purchasing', 'brand', 'tyres', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Original booking date / location made but garage then declined booking,ease of booking negative,,"['Original', 'booking', 'date', '/', 'location', 'made', 'garage', 'declined', 'booking']",positive,{'garage service': 'positive'}
Brilliant service and the garage who fitted Collisons cowplain were super friendly. honest and efficient,length of fitting positive,garage service positive,"['Brilliant', 'service', 'garage', 'fitted', 'Collisons', 'cowplain', 'super', 'friendly', '.', 'honest', 'efficient']",positive,{'garage service': 'positive'}
"Very efficient service, good price for tyres",value for money positive,,"['efficient', 'service', ',', 'good', 'price', 'tyres']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"[REDACTED] failed to get my tyres to my selected garages not once but twice , and kept asking me how I wanted to proceed, obviously just deliver the tyres to the garage. The same thing happened the last time I ordered tyres from [REDACTED] but I let it go, I thought it might have been a one off but the exact same thing happen this time , just days of replying to emails and arranging fitting days over the phone with my garage NO THANKS",delivery punctuality negative,change of date negative,"['[', 'REDACTED', ']', 'failed', 'get', 'tyres', 'selected', 'garages', 'twice', ',', 'kept', 'asking', 'wanted', 'proceed', ',', 'obviously', 'deliver', 'tyres', 'garage', '.', 'thing', 'happened', 'last', 'time', 'ordered', 'tyres', '[', 'REDACTED', ']', 'let', 'go', ',', 'thought', 'might', 'one', 'exact', 'thing', 'happen', 'time', ',', 'days', 'replying', 'emails', 'arranging', 'fitting', 'days', 'phone', 'garage', 'THANKS']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
2 out 2. I have used [REDACTED] twice and I have been very content with the service. quality tyres supplied to local garages and keeping local independent companies in business.,location positive,tyre quality positive,"['2', '2', '.', 'used', '[', 'REDACTED', ']', 'twice', 'content', 'service', '.', 'quality', 'tyres', 'supplied', 'local', 'garages', 'keeping', 'local', 'independent', 'companies', 'business', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Internet experience good, booking slot not as organised as should be",ease of booking negative,,"['Internet', 'experience', 'good', ',', 'booking', 'slot', 'organised']",positive,{}
After being given a fitting date when the order was placed I then received an email saying that it would be pushed out by an additional 2 days due to unforeseen problems. This email was sent after closing hours so I couldn't make contact to try and resolve the issue sooner. I then had to call back then next day numerous times to find a solution. It turned out that it was simply because the arrival of the tyres hadn't been confirmed with the fitting centre. Turns out tyres were there after all and they could be fitted on the requested day but by this point not until lunchtime and I'd had to take time off work to get this sorted and done.,ease of booking negative,delivery punctuality negative,"['given', 'fitting', 'date', 'order', 'placed', 'received', 'email', 'saying', 'would', 'pushed', 'additional', '2', 'days', 'due', 'unforeseen', 'problems', '.', 'email', 'sent', 'closing', 'hours', 'could', ""n't"", 'make', 'contact', 'try', 'resolve', 'issue', 'sooner', '.', 'call', 'back', 'next', 'day', 'numerous', 'times', 'find', 'solution', '.', 'turned', 'simply', 'arrival', 'tyres', ""n't"", 'confirmed', 'fitting', 'centre', '.', 'Turns', 'tyres', 'could', 'fitted', 'requested', 'day', 'point', 'lunchtime', ""'d"", 'take', 'time', 'work', 'get', 'sorted', 'done', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
1 of the tire fitted has a slow puncture.,damage negative,,"['1', 'tire', 'fitted', 'slow', 'puncture', '.']",negative,{}
"The guy who greated me basically just grunted at me. They did not replace my spare tyre and I had to go back to collect it, there was no apology for the mistake or for me having to take more time out from work to collect the tyre. One of my tyres then kept deflating and I once again had to go back to get this rectified. They guys on my 3rd visit were very nice but explained that the rim had not been prepared/ cleaned properly on the first fit nor was there enough sealant which is what caused the leak. Again no apology or any offer of recompense for my time or expence in 2 addition visits which were at [REDACTED] fault",damage negative,refund negative,"['guy', 'greated', 'basically', 'grunted', '.', 'replace', 'spare', 'tyre', 'go', 'back', 'collect', ',', 'apology', 'mistake', 'take', 'time', 'work', 'collect', 'tyre', '.', 'One', 'tyres', 'kept', 'deflating', 'go', 'back', 'get', 'rectified', '.', 'guys', '3rd', 'visit', 'nice', 'explained', 'rim', 'prepared/', 'cleaned', 'properly', 'first', 'fit', 'enough', 'sealant', 'caused', 'leak', '.', 'apology', 'offer', 'recompense', 'time', 'expence', '2', 'addition', 'visits', '[', 'REDACTED', ']', 'fault']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Your auto system ordered the wrong tyres for my car. Result my repair could not be done. The second appointment was supposed to happen between 8.30 and 12 but the fitter had an all day booking so arrived around 2pm.my car was off the road for 6 extra days because of your error and much time was wasted. True you did not charge me the difference in price on the right tyre but you caused me far more trouble than the £15 discount.,discounts negative,booking confusion negative,"['auto', 'system', 'ordered', 'wrong', 'tyres', 'car', '.', 'Result', 'repair', 'could', 'done', '.', 'second', 'appointment', 'supposed', 'happen', '8.30', '12', 'fitter', 'day', 'booking', 'arrived', 'around', '2pm.my', 'car', 'road', '6', 'extra', 'days', 'error', 'much', 'time', 'wasted', '.', 'True', 'charge', 'difference', 'price', 'right', 'tyre', 'caused', 'far', 'trouble', '£15', 'discount', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Had 2 tyres fitted was not told at the time we would have to go to ford dealers after fitting to have the tyre valves reset.,garage service negative,,"['2', 'tyres', 'fitted', 'told', 'time', 'would', 'go', 'ford', 'dealers', 'fitting', 'tyre', 'valves', 'reset', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"No issue with online process. No issue with online selection and pre-purchase of tyres, or booking 4wheel alignment.Tyre fitting centre damaged steering wheel during alignment (needs full refurbishment); being sorted out but currently still unresolved",garage service negative,ease of booking positive,"['issue', 'online', 'process', '.', 'issue', 'online', 'selection', 'pre-purchase', 'tyres', ',', 'booking', '4wheel', 'alignment.Tyre', 'fitting', 'centre', 'damaged', 'steering', 'wheel', 'alignment', '(', 'needs', 'full', 'refurbishment', ')', ';', 'sorted', 'currently', 'still', 'unresolved']",positive,{'incorrect tyres': 'positive'}
"I was told the night before that the tyres hadn't arrived so could be fitted on the Tuesday and earliest would be Thursday, I emailed to ask why and yes that would be ok. Still had no response..... My wife then has a phone call mid day Tuesday so say the tyres were there ready to be fitted. When fitting was taking place all the tyre fitters did was swear. Not great if children were present.",garage service negative,,"['told', 'night', 'tyres', ""n't"", 'arrived', 'could', 'fitted', 'Tuesday', 'earliest', 'would', 'Thursday', ',', 'emailed', 'ask', 'yes', 'would', 'ok', '.', 'Still', 'response', '.....', 'wife', 'phone', 'call', 'mid', 'day', 'Tuesday', 'say', 'tyres', 'ready', 'fitted', '.', 'fitting', 'taking', 'place', 'tyre', 'fitters', 'swear', '.', 'great', 'children', 'present', '.']",positive,{'incorrect tyres': 'positive'}
Great selection of tyres to mmet your budget requirements,value for money positive,,"['Great', 'selection', 'tyres', 'mmet', 'budget', 'requirements']",positive,{'incorrect tyres': 'positive'}
Web site easy to use. Price good. One snag was that my booking was not initially seen by the dealer who seemingly had to manually transfer the booking for his staff to see it? This hadn't been done till after I arrived! [REDACTED]/dealer systems not integrated? However all went well after that. Thanks.,value for money positive,ease of booking positive,"['Web', 'site', 'easy', 'use', '.', 'Price', 'good', '.', 'One', 'snag', 'booking', 'initially', 'seen', 'dealer', 'seemingly', 'manually', 'transfer', 'booking', 'staff', 'see', '?', ""n't"", 'done', 'till', 'arrived', '!', '[', 'REDACTED', ']', '/dealer', 'systems', 'integrated', '?', 'However', 'went', 'well', '.', 'Thanks', '.']",positive,{}
you said a fitting date then changed it,change of date negative,,"['said', 'fitting', 'date', 'changed']",positive,{}
"Exactly as ordered, fitting was arranged and fitting company were excellent.",garage service positive,,"['Exactly', 'ordered', ',', 'fitting', 'arranged', 'fitting', 'company', 'excellent', '.']",positive,{}
Extremely easy to find the right tyres and book the fitting. I found it particularly useful to see how the tyres were rated for fuel efficiency and stopping capabilities in the wet. I would definitely use this service again.,ease of booking positive,,"['Extremely', 'easy', 'find', 'right', 'tyres', 'book', 'fitting', '.', 'found', 'particularly', 'useful', 'see', 'tyres', 'rated', 'fuel', 'efficiency', 'stopping', 'capabilities', 'wet', '.', 'would', 'definitely', 'use', 'service', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Easy to use website, very good prices, easy to arrange appointments and good service from ATS Llandrindod Wells.",garage service positive,ease of booking positive,"['Easy', 'use', 'website', ',', 'good', 'prices', ',', 'easy', 'arrange', 'appointments', 'good', 'service', 'ATS', 'Llandrindod', 'Wells', '.']",positive,{'garage service': 'positive'}
Good price and excellent service. Plenty of fitting choices.,location positive,value for money positive,"['Good', 'price', 'excellent', 'service', '.', 'Plenty', 'fitting', 'choices', '.']",positive,{'garage service': 'positive'}
Some confusion over booking. When I arrived at the chosen garage they didn't have me booked in. The garage fitted the tyres in the allotted time however.,booking confusion negative,wait time positive,"['confusion', 'booking', '.', 'arrived', 'chosen', 'garage', ""n't"", 'booked', '.', 'garage', 'fitted', 'tyres', 'allotted', 'time', 'however', '.']",neutral,"{'garage service': 'neutral', 'wait time': 'neutral', 'incorrect tyres': 'neutral'}"
Great tyre prices and excellent service from Lovegreen garage (as always),value for money positive,garage service positive,"['Great', 'tyre', 'prices', 'excellent', 'service', 'Lovegreen', 'garage', '(', 'always', ')']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Easy and great value. Easy, reliable and great value !!",value for money positive,,"['Easy', 'great', 'value', '.', 'Easy', ',', 'reliable', 'great', 'value', '!', '!']",positive,{}
"Arrived on time, excellent introduction, superb swift service and not a mark put on the wheels.",delivery punctuality positive,length of fitting positive,"['Arrived', 'time', ',', 'excellent', 'introduction', ',', 'superb', 'swift', 'service', 'mark', 'put', 'wheels', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Quick and accurate service,length of fitting positive,,"['Quick', 'accurate', 'service']",positive,{'garage service': 'positive'}
"You know how good a company is when things don't quite go right and see how they respond. My tyres were delayed for my home fitting, but [REDACTED] responded very quickly and effectively to solve the problem. I will use again.",mobile fitter positive,delivery punctuality positive,"['know', 'good', 'company', 'things', ""n't"", 'quite', 'go', 'right', 'see', 'respond', '.', 'tyres', 'delayed', 'home', 'fitting', ',', '[', 'REDACTED', ']', 'responded', 'quickly', 'effectively', 'solve', 'problem', '.', 'use', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Mechanic was friendly, on time and efficient (on the hottest day of the year!!). Well worth the £6 to have tyres fitted at home. Very satisfied with him and [REDACTED].com.Also good price for tyres.Would recommend to friends and use again.",value for money positive,length of fitting positive,"['Mechanic', 'friendly', ',', 'time', 'efficient', '(', 'hottest', 'day', 'year', '!', '!', ')', '.', 'Well', 'worth', '£6', 'tyres', 'fitted', 'home', '.', 'satisfied', '[', 'REDACTED', ']', '.com.Also', 'good', 'price', 'tyres.Would', 'recommend', 'friends', 'use', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Had to wait more than an hour in the garage to have fitted. What’s the point of making a timed appointment?,length of fitting negative,,"['wait', 'hour', 'garage', 'fitted', '.', '’', 'point', 'making', 'timed', 'appointment', '?']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Excellent friendly service completed on time at agreed price.,garage service positive,value for money positive,"['Excellent', 'friendly', 'service', 'completed', 'time', 'agreed', 'price', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Great service, quick availability, local garage did a good job",location positive,ease of booking positive,"['Great', 'service', ',', 'quick', 'availability', ',', 'local', 'garage', 'good', 'job']",positive,{'garage service': 'positive'}
"Polite, helpful staff. Clean and tidy garage. Professional job.",facilities positive,garage service positive,"['Polite', ',', 'helpful', 'staff', '.', 'Clean', 'tidy', 'garage', '.', 'Professional', 'job', '.']",positive,{'garage service': 'positive'}
"Excellent tyres why go anywhere else. Excellent tyres, excellent price, excellent service",tyre quality positive,value for money positive,"['Excellent', 'tyres', 'go', 'anywhere', 'else', '.', 'Excellent', 'tyres', ',', 'excellent', 'price', ',', 'excellent', 'service']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Fast and Efficient. Fast, efficient service and a great new tyre. A quality product and service delivered at a competitive price.",value for money positive,tyre quality positive,"['Fast', 'Efficient', '.', 'Fast', ',', 'efficient', 'service', 'great', 'new', 'tyre', '.', 'quality', 'product', 'service', 'delivered', 'competitive', 'price', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent service from ordering through to fitting, used [REDACTED] many times and always the most competitive on price.",value for money positive,,"['Excellent', 'service', 'ordering', 'fitting', ',', 'used', '[', 'REDACTED', ']', 'many', 'times', 'always', 'competitive', 'price', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Garage was great, very easy transaction and service was great.",garage service positive,,"['Garage', 'great', ',', 'easy', 'transaction', 'service', 'great', '.']",positive,{'garage service': 'positive'}
Great value for money and super to have the new tyres delivered direct to the garage who are going to fit them for you! Excellent service too from M & R Motors Campbeltown who went the extra mile to help us out.,value for money positive,,"['Great', 'value', 'money', 'super', 'new', 'tyres', 'delivered', 'direct', 'garage', 'going', 'fit', '!', 'Excellent', 'service', '&', 'R', 'Motors', 'Campbeltown', 'went', 'extra', 'mile', 'help', 'us', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Great price and fitted hassle free!,value for money positive,,"['Great', 'price', 'fitted', 'hassle', 'free', '!']",positive,{}
Good service and good price.,value for money positive,,"['Good', 'service', 'good', 'price', '.']",positive,{'garage service': 'positive'}
Competitive prices and excellent service by Driveway tyres.,value for money positive,,"['Competitive', 'prices', 'excellent', 'service', 'Driveway', 'tyres', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Excellent service. Came to my workplace and fitted a new tyre in 45 minutes. Couldn’t recommend a better service!,garage service positive,length of fitting positive,"['Excellent', 'service', '.', 'Came', 'workplace', 'fitted', 'new', 'tyre', '45', 'minutes', '.', '’', 'recommend', 'better', 'service', '!']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Sunside garage was first class,garage service positive,,"['Sunside', 'garage', 'first', 'class']",positive,{'garage service': 'positive'}
"Massive selection of tyres on all sizes, selected fitted option with appointment and fitted on the day selected excellent service",ease of booking positive,,"['Massive', 'selection', 'tyres', 'sizes', ',', 'selected', 'fitted', 'option', 'appointment', 'fitted', 'day', 'selected', 'excellent', 'service']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"[REDACTED] new tyres fitted by professional garage. Easy to compare tyres, choose and pick a garage for fitting.Great prices.Used a local garage, who were very professional, tyres were waiting and they kept to my time slot.Have used before and will use again.Top quality service",ease of booking positive,value for money positive,"['[', 'REDACTED', ']', 'new', 'tyres', 'fitted', 'professional', 'garage', '.', 'Easy', 'compare', 'tyres', ',', 'choose', 'pick', 'garage', 'fitting.Great', 'prices.Used', 'local', 'garage', ',', 'professional', ',', 'tyres', 'waiting', 'kept', 'time', 'slot.Have', 'used', 'use', 'again.Top', 'quality', 'service']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Great quality tyres at a good price and fitted on time.,wait time positive,value for money positive,"['Great', 'quality', 'tyres', 'good', 'price', 'fitted', 'time', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Great Price and Service. The price quoted for my tyres was the most competitive by the and arrangements were made quickly. They were fitted by Jim Dickson's and although they do not operate an appointment system, the work was carried out efficiently without having to wait very long. Always a pleasure to deal with such a friendly place",value for money positive,length of fitting positive,"['Great', 'Price', 'Service', '.', 'price', 'quoted', 'tyres', 'competitive', 'arrangements', 'made', 'quickly', '.', 'fitted', 'Jim', 'Dickson', ""'s"", 'although', 'operate', 'appointment', 'system', ',', 'work', 'carried', 'efficiently', 'without', 'wait', 'long', '.', 'Always', 'pleasure', 'deal', 'friendly', 'place']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Better if [REDACTED] mentions Tyre Thread Depth. I bought 2 Front Goodyear Eagle NCT5 A 205/45 R18 Y (86)) and 2 Rear Bridgestone Turanza T005 DriveGuard 225/40 R18 Y (92) fully fitted by one of the local garages on [REDACTED]. travelled only 2 miles in total from the time the tyres were fitted to the pre booked bmw service appointment who recorded the tyres depth as front 8mm and rear as 7mm. don't know if measurements taken by bmw are wrong. But when I looked at the rear tyres I strongly felt they were only slightly better in depth than my old tyres but i didn't raise issue when got them fitted. It would be best if [REDACTED] mentions tyre thread depth so that customers know better what they are buying .,tyre quality positive,,"['Better', '[', 'REDACTED', ']', 'mentions', 'Tyre', 'Thread', 'Depth', '.', 'bought', '2', 'Front', 'Goodyear', 'Eagle', 'NCT5', '205/45', 'R18', '(', '86', ')', ')', '2', 'Rear', 'Bridgestone', 'Turanza', 'T005', 'DriveGuard', '225/40', 'R18', '(', '92', ')', 'fully', 'fitted', 'one', 'local', 'garages', '[', 'REDACTED', ']', '.', 'travelled', '2', 'miles', 'total', 'time', 'tyres', 'fitted', 'pre', 'booked', 'bmw', 'service', 'appointment', 'recorded', 'tyres', 'depth', 'front', '8mm', 'rear', '7mm', '.', ""n't"", 'know', 'measurements', 'taken', 'bmw', 'wrong', '.', 'looked', 'rear', 'tyres', 'strongly', 'felt', 'slightly', 'better', 'depth', 'old', 'tyres', ""n't"", 'raise', 'issue', 'got', 'fitted', '.', 'would', 'best', '[', 'REDACTED', ']', 'mentions', 'tyre', 'thread', 'depth', 'customers', 'know', 'better', 'buying', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Excellent. Quick, easy, convenient and value for money.",value for money positive,,"['Excellent', '.', 'Quick', ',', 'easy', ',', 'convenient', 'value', 'money', '.']",positive,{}
"Great service and value as usual. Third time I’ve used [REDACTED] with the home fitting service now and I wouldn’t go anywhere else now, great prices and no hassle with the home fitting, great service.",value for money positive,mobile fitter positive,"['Great', 'service', 'value', 'usual', '.', 'Third', 'time', '’', 'used', '[', 'REDACTED', ']', 'home', 'fitting', 'service', '’', 'go', 'anywhere', 'else', ',', 'great', 'prices', 'hassle', 'home', 'fitting', ',', 'great', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Very good value,value for money positive,,"['good', 'value']",positive,{}
"makes it very easy to choose tyres, select a fitting centre and book a time, well done BC!",ease of booking positive,,"['makes', 'easy', 'choose', 'tyres', ',', 'select', 'fitting', 'centre', 'book', 'time', ',', 'well', 'done', 'BC', '!']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Best deal I found, with choice of local garages to fit the tyres.",location positive,value for money positive,"['Best', 'deal', 'found', ',', 'choice', 'local', 'garages', 'fit', 'tyres', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Large selection of tyres, clear rating system. good price and all inclusive. easy to book with garage.",ease of booking positive,value for money positive,"['Large', 'selection', 'tyres', ',', 'clear', 'rating', 'system', '.', 'good', 'price', 'inclusive', '.', 'easy', 'book', 'garage', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
